foot_contact_forces
"charlotte-sim repo hash: 46395edc6d0c8927cf8d5f1aabf662f39d634e6d WARNING: charlotte-sim git repo was NOT clean, it may have changes not captured as of this hash!"
charlotte-description repo hash: 58b78b6450979467e648200be8d12d1950012a35
Units: N
Time,MR_Fx,MR_Fy,MR_Fz,BR_Fx,BR_Fy,BR_Fz,FL_Fx,FL_Fy,FL_Fz,ML_Fx,ML_Fy,ML_Fz,BL_Fx,BL_Fy,BL_Fz,FR_Fx,FR_Fy,FR_Fz
9.596,8.622260792276936,-1.2295798306530132,-376.4629844849243,1.3948689977352073,-1.1011344641237617,-211.56665332286107,-10.876541739718888,4.906461335598311,-464.5014331798141,nan,nan,nan,-1.7182927853463559,-0.0006010294981850059,-162.20449129690363,nan,nan,nan
9.597,8.620977179678391,-1.2425272159696665,-376.5260626736386,1.397038088535701,-1.104582572270384,-211.50415274981117,-10.883742486488302,4.9062895498203725,-464.60541376772676,nan,nan,nan,-1.716253193591296,-0.0015288932507524428,-162.10578958831468,nan,nan,nan
9.598,8.619656958019812,-1.255583793793871,-376.5891434298247,1.3994640438947865,-1.1080755827571003,-211.44159306566743,-10.890958492768954,4.906131492800563,-464.70925427638633,nan,nan,nan,-1.7142082506591638,-0.002466268338113799,-162.0071076673693,nan,nan,nan
9.599,8.618300089767297,-1.2687483499352996,-376.65222590526713,1.4021403448201815,-1.1116130060031957,-211.37897283114137,-10.898189732204107,4.905987097518361,-464.8129560827684,nan,nan,nan,-1.7121521226268503,-0.0034128089234992088,-161.90844553296654,nan,nan,nan
9.6,8.616906570212729,-1.2820201168019534,-376.71530872555934,1.4050734236726576,-1.1151942472925211,-211.31629076801838,-10.90543631305786,4.90585543713303,-464.9165209623231,nan,nan,nan,-1.7100960083269339,-0.004368947783569865,-161.80980346988704,nan,nan,nan
9.601,8.615476385410869,-1.2953978976672191,-376.778390939318,1.4082570543846844,-1.1188188145853202,-211.25354554405817,-10.912698197302957,4.905736410142775,-465.0199504305688,nan,nan,nan,-1.7080344988507026,-0.005334337801820918,-161.71118158024626,nan,nan,nan
9.602,8.61400952885889,-1.3088805973354152,-376.84147155018064,1.4116889254749856,-1.1224861692298305,-211.19073584965722,-10.91997539626963,4.905629640690642,-465.12324610604804,nan,nan,nan,-1.7059676203508307,-0.006308900457096315,-161.61257998933374,nan,nan,nan
9.603,8.612506002604418,-1.32246710342407,-376.90454955141485,1.4153666068664261,-1.1261957621037935,-211.12786039919504,-10.927267917094028,4.905534745358976,-465.22640966750276,nan,nan,nan,-1.7038954045616028,-0.007292551915698846,-161.5139988387818,nan,nan,nan
9.604000000000001,8.610965816394911,-1.3361562860340028,-376.96762393840174,1.4192875496534179,-1.129947036753919,-211.06491793065402,-10.934575763477632,4.90545133518677,-465.3294428404438,nan,nan,nan,-1.7018178838180256,-0.008285207647232187,-161.41543828222717,nan,nan,nan
9.605,8.60938898734029,-1.3499469985217598,-377.0306937125723,1.4234490889614553,-1.1337394294309797,-211.0019072048106,-10.941898935777054,4.90537901621325,-465.4323473913634,nan,nan,nan,-1.6997350906478939,-0.009286782765887425,-161.3168984822995,nan,nan,nan
9.606,8.607775539712499,-1.363838078104153,-377.0937578831413,1.4278484490920982,-1.137572369079428,-210.93882700465082,-10.94923743116624,4.905317389868286,-465.5351251251686,nan,nan,nan,-1.6976470621839934,-0.010297191918723065,-161.2183796088058,nan,nan,nan
9.607,8.606125504842767,-1.3778283455019464,-377.1568154677081,1.4324827376112377,-1.1414452776223931,-210.87567613478765,-10.95659124329936,4.905266054067482,-465.6377778829593,nan,nan,nan,-1.6955538288849485,-0.011316348907682775,-161.11988183707808,nan,nan,nan
9.608,8.604438921022393,-1.3919166060214618,-377.2198654926502,1.4373489539626858,-1.145357570319778,-210.81245342087206,-10.963960362470772,4.905224603352951,-465.74030753983624,nan,nan,nan,-1.6934554227647223,-0.012344166814161683,-161.02140534643007,nan,nan,nan
9.609,8.602715833400545,-1.4061016502816492,-377.28290699308224,1.4424439923951766,-1.1493086556970802,-210.74915770947354,-10.971344775487646,4.90519262945266,-465.8427160035063,nan,nan,nan,-1.6913518780167691,-0.013380557898026215,-160.92295031932645,nan,nan,nan
